e862a6c5-8387-4a93-8722-cf7bba04f5dc,RO,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"8bb68aa4-d529-4450-9a88-e5d47558c8ff",AC,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"249bba90-a471-4976-a9cf-579864daf5fe",AM,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
be938c55-c4da-477f-82e5-c54c280743fd,RR,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"44e11893-8f52-448c-a48c-11165694c62b",PA,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
dd21851c-52ff-4934-9ae3-3718ab697416,AP,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"077158ad-1694-4126-9d01-95edc1bf9236",TO,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"4c52a574-40b5-441a-a696-837dae20e74b",MA,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
b979315b-9a4e-44fb-91b0-4a8e1658c0c2,PI,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
d7b06abb-d817-4281-99f8-24207bccd57f,CE,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"019bfe76-d10a-4080-a9dd-4f2d83542d55",RN,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"8c9c9e3b-a76b-44b6-970c-010888e058df",PB,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"86ae696c-de9b-4f1d-b725-489326c1d395",PE,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
cb887d5a-4d59-4326-bf9f-7aa88775a7ab,AL,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"37ba317e-b357-4682-a578-2e9d61124efa",SE,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"30d889c2-c03b-4ff7-83e8-3633e1bc81a2",BA,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"5ae7a5e4-8274-46ca-b8b4-4694eae2d0d3",MG,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"797a1a54-1046-4f22-8e39-28e3b05510cb",ES,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"49efad8f-375f-405b-9fd3-a13abc5191d8",RJ,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"39c6c5cc-de02-48f3-a107-f37f5f3763fc",SP,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"051a3d08-ec65-4c41-98f9-3d8bcd25dea3",PR,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
d7305969-1b5d-4937-92de-94d368549bc1,SC,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"1406274c-e32b-4dfb-91fd-6fdac3c86725",RS,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
db10bad7-57b0-4452-b73a-ae7fa2027ac5,MS,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
fcf217be-b25a-4dfe-bddc-e125134d8263,MT,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
"9bb7a2cc-af30-4f68-af05-9c6427090f85",GO,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
f760fbd3-e3b8-4177-924b-39cadfd8e087,DF,"48f10d94-384e-4f42-a431-ca89c1edcd4b"
